month,tag,heat,content
12,0,1440.2,驻加拿大使馆要求立即恢复孟晚舟女士人身自由加拿大警方应美方要求逮捕一个没有违反任何美加法律的中国公民对这一严重侵犯人权的行为中方表示坚决反对并强烈抗议中方已向美加两国进行了严正交涉要求它们立即纠正错误做法恢复孟晚舟女士的人身自由我们将密切关注事态发展采取一
12,0,507.09999999999997,美国纽约及加拿大多个城市收到炸弹威胁当地时间日下午美国纽约及加拿大多伦多卡尔加里坎卢普斯等多个城市收到炸弹威胁当天纽约市多地收到电子邮件要求用比特币向嫌犯支付一定数量的款项否则纽约将有炸弹引爆目前纽约尚未发现任何地点有引爆设备相关部门正在调查时
12,1,1421.0,致敬改革先锋人完整名单弘扬敢闯敢试敢为人先的改革精神将改革开放进行到底转发致敬
12,2,2019.1999999999998,还有其他加拿大人被调查陆慷你听说还有我也没有听说在今天的外交部例行记者会上有记者问是否还有其他加拿大人正在被中国国家安全部门调查外交部新闻发言人陆慷回答你听说还有记者没有我也没有听说
12,3,847.6999999999999,明天考研这一年感谢无比坚强的你走到这里已经是英雄明天愿你将笔盖上笔帽时有刀剑入鞘般的骄傲转发祝福加油
12,4,718.5,民政部全面推进婚俗改革倡导简约婚礼针对当前一些地方天价彩礼奢侈浪费办婚礼等问题民政部日前要求全面推进婚俗改革倡导简约适当的婚俗礼仪反对利用婚姻敛财抵制天价彩礼铺张浪费低俗婚闹随礼攀比等不正之风拒绝婚闹从我做起
12,5,1158.3999999999999,安排上了
12,6,2566.2000000000003,外交部召见加拿大驻华大使不放人必将造成严重后果年月日中国外交部副部长乐玉成紧急召见加拿大驻华大使麦家廉就加方拘押华为公司负责人提出严正交涉和强烈抗议乐玉成指出加方以应美方要求为由将在加拿大温哥华转机的中国公民拘押严重侵犯中国公民的合法正当权益于
12,6,2506.7999999999997,加拿大公民康明凯因涉嫌危害中国国家安全被依法审查据新京报网报道记者从有关部门获悉加拿大公民康明凯英文名因涉嫌从事危害中国国家安全的活动于年月日被北京市国家安全局依法审查目前案件正在审理中
12,6,1866.7,加拿大公民迈克尔因涉嫌危害中国国家安全被依法审查据东北新闻网报道记者从有关部门获悉加拿大公民迈克尔英文名因涉嫌从事危害中国国家安全的活动于年月日被辽宁省丹东市国家安全局依法审查目前案件正在审理中
12,6,1261.4,外交部召见美国驻华大使立即纠正错误做法撤销对中国公民的逮捕令年月日中国外交部副部长乐玉成紧急召见美国驻华大使布兰斯塔德就美方无理要求加方拘押在加拿大温哥华转机的华为公司负责人提出严正交涉和强烈抗议乐玉成指出美方所作所为严重侵犯中国公民的合法正当
12,7,353.09999999999997,这群人温暖了北京人的冬天也温暖了他们自己的冬天他们的文化水平不一定很高知识积累不一定很多但是他们做到了真心善良温暖寒冷的背后吕梁山护工的暖暖真情温暖了北京人的冬天也温暖了他们自己的冬天
12,8,560.2,应急管理部对殴打驾驶员干扰驾驶行为明确适用刑法规定国务院安全生产委员会印发关于加强公交车行驶安全和桥梁防护工作的意见要求各地区各有关部门深刻吸取重庆万州公交车坠江事件教训进一步加强公交车行驶安全和桥梁防护工作转发支持
12,9,697.5,打破垄断莫德里奇荣膺年度金球奖当地时间月日在法国巴黎年度金球奖颁奖典礼上克罗地亚球员莫德里奇摘得年度金球奖打破罗与梅西过往十年对该奖项的垄断他是皇马赢得欧冠的重要功臣并带领克罗地亚实现历史性突破拿到世界杯亚军你怎么看
12,10,518.6,安排上了玩就完事了嗷
12,11,509.3,自从有了微信沟通交流方便很多但是微信聊多了难免有手抖的时刻比如把吐槽的内容发给了槽点本槽你曾经有过手滑翻车的现场吗又是怎么处理的呢把你的故事分享给我们吧希望能找到好的故事多长都没关系最好能长一点
12,12,2178.2,送别年已有位南京大屠杀幸存者去世近日南京大屠杀幸存者赵金华陈广顺去世至此今年已有位幸存者永远离开他们没能见证第五个南京大屠杀死难者国家公祭日目前登记在册的幸存者已不足百人时光无情流逝记忆从未消失铭记历史珍爱和平
12,13,973.6,绝对是高手斤壮汉为救人奔跑像闪电月日湖北武汉壮小伙耿青在古田二路地铁站上班时发现一位乘客在滑梯上没站稳正向后面的另一位老人倒去情况十分危急耿青来不及多想拔腿就跑火速撑住老人避免了危险事件的发生网友评论这个绝对是高手
12,14,955.7,中国选手闫文港夺冠创造中国钢架雪车队历史昨晚在年钢架雪车欧洲杯德国国王湖站比赛中中国岁钢架雪车选手闫文港以两次滑行分秒的总成绩夺得该站冠军创造了中国钢架雪车选手在欧洲杯上的历史最好成绩这一冠军是中国队的历史性突破转发祝贺
12,15,976.0,一生只守一座岛他用生命守护祖国东大门这是一座在地图上几乎无法看到的小岛年的时间里这里常年生活的只有两个人王继才和他的爱人王仕花王继才说岛虽小它是祖国的一部分国旗插到哪里哪里就是我们的国土向时代楷模致敬
12,16,715.8000000000001,年这些大桥见证中国跨度加油年的今天我国首座跨海浮桥在浙江宁波建成如今天堑变通途不再是遥不可及的梦这些桥陆续合龙或建成通车筑成大桥的不仅有钢筋混凝土更有中国造桥人的汗水与智慧转发向他们致敬
12,17,3323.3,目前常德细菌战幸存者仅剩位昭昭前事惕惕后人今天我们一起祭奠为了这不能忘却的纪念当战争受害者正一个个离开我们我们还能为他们做些什么与一起为细菌战幸存老人发声
12,18,1136.6,今天是十二月的第一天年已经进入倒计时阶段还记得自己年初立下的吗来跟团团说说怎么样了
12,19,1066.3,这就是中国军人国防部发布视频家国与边关人的青春只有一次但青春不只是眼前的潇洒也有家国与边关两万两千多公里的陆地边防线每一处都留下了他们的脚印岁月静好不过是因为他们在负重前行岁末年终阖家团聚时请别忘了这群卫国戍边的中国军人
12,20,350.59999999999997,坚持用真理说服人卡脖子想当年苏联撤走援华专家对我国航天事业釜底抽薪我们不是一样靠自己的力量把东风一号导弹打上了天而现在东风快递使命必达这响当当的威名震慑全球谁还敢小瞧咱们怕个啥
12,21,894.8000000000001,西安一高校挂禁烟表情包吸烟找不到对象近日西安交通工程学院制作了一批禁烟表情包悬挂于校内各处用新奇有趣的网络表情包宣传禁烟吸烟找不到对象烟渺渺兮肺心寒尼古丁一进兮不复还为了你们的健康学校真的操碎了心
12,22,290.2,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得富虹油品一级大豆油公示链接奖品抽完中奖的小伙伴请于日内填写收货信息没中奖的小伙伴也不要气馁要继续参与团团的活动哟
12,22,245.79999999999998,还有的还有的哈恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油公示链接
12,22,235.20000000000002,恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,22,230.8,恭喜等名用户获得锦瑟衣庄上元夜等名用户获得百雀羚三生花护手霜套装等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,22,217.0,小伙伴们还有很多奖品会陆续抽出恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,22,209.1,恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,22,208.39999999999998,今日份奖品又来啦恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效
12,22,167.1,恭喜名用户获得创维智能家电大礼包等名用户获得中吉号吉祥孔雀普洱生茶等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,23,295.6,出门在外注意保护自己一起来长知识
12,24,1117.5,来跟团团说一件你一直为之坚持的事情吧团团相信坚持到最后的你会看到最美的风景
12,25,267.8,收好这份就业服务活动时间表明年找工作不发愁这是一份年的就业服务活动时间表马住新的一年找工作不愁
12,26,1212.2,年要结束了来和团团说说年你计划里最重要的事情是什么呀
12,27,763.8,致不能长大的孩子有些战争让我们无处可逃有些战争让你无处可逃年常德日军发动细菌战鼠疫横行夺命屠城年过去那些在细菌战中存活下来的孩子已垂垂老矣而那些不能长大的孩子他们的故事等你聆听
12,28,1990.0,毛泽东那代人为改革开放攒下了什么家底今年是改革开放周年也是毛泽东诞辰周年这一特殊的历史交汇点为我们考察毛泽东那代人与改革开放的关系提供了很好契机毛泽东那代人为改革开放攒下了哪些家底经过长期的历史沉淀有必要进行深入地分析和评述
12,29,341.0,恭喜等名用户获得双屏版等名用户获得东家山下菊瓣壶套装等名用户获得明镜时见宋制套装大家期盼已久的东风风神马上抽出所有中奖者请务必于三日内上传收货信息公示链接
12,29,264.1,没中到的小伙伴别着急奖品还陆续有来恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装公示链接
12,29,238.70000000000002,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,29,219.79999999999998,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,29,179.79999999999998,恭喜等名用户获得科大讯飞翻译机等名用户获得东家自慢堂玻璃公道杯等名用户获得百雀羚三生花护手霜套装微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接
12,30,1076.6,外交部要求立即释放被拘押人员外交部发言人耿爽在今天举行的外交部例行记者会上应询表示中方已就此案分别向加方和美方表明了严正立场要求对方立即对拘押的理由作出澄清立即释放被拘押的人员切实保障当事人的合法正当权益目前为止加方和美方并未就拘押理由作出任何澄清
12,30,865.1,中国外交部坚决反对美方签署相关涉藏法案针对美国总统特朗普当地时间日签署所谓的年对等进入西藏法案中国外交部发言人华春莹今天表示美方有关法案对中方的指责罔顾事实充满偏见中方对此绝不接受西藏事务纯属中国内政不容任何外国势力干涉敦促美方停止利用涉藏问题干涉中
12,30,690.2,王毅中方阐述了在台湾问题上的原则立场支持美朝领导人再次会晤王毅说中方阐述了在台湾问题上的原则立场美方表示将继续奉行一个中国政策双方还就朝鲜半岛问题交换了意见中方支持美朝领导人再次会晤希望美朝双方相向而行照顾彼此合理关切并行推进半岛完全无核化和建立半岛和平
12,30,504.09999999999997,美以网络窃密为由对两中方人员起诉外交部回应倒打一耙日美方捏造事实无中生有在网络安全问题上对中方进行无端指责以所谓网络窃密为由对两名中方人员进行起诉此举严重违反国际关系基本准则严重损害中美合作性质十分恶劣中方对此坚决反对已向美方提出严正交
12,31,535.6,今年是青年志愿者行动启动实施周年来看看这些志愿服务的精彩瞬间参与志愿工作服务社会传递爱心
12,32,831.5,为你骄傲中国制造这一年国产水陆两栖飞机鲲龙首飞嫦娥四号中继星鹊桥发射成功这一年首艘国产航母海试歼列装空军作战部队还有世界最长跨海大桥港珠澳大桥正式开通大国重器捷报频传转发点赞中国制造致敬智造者
12,33,1131.8000000000002,这个大学合唱团火了女生不够男生穿裙充数近日合唱团的一段表演火了因女生太少男生不得不穿上裙子在台上帮唱引爆笑合唱团指导老师称这是一场新年合唱音乐会想增添一些喜庆气氛才这样设计
