2018-12-31,岁末年初即便你的年终盘点一言难尽但新年的仍然计日可期需要抓住的是联结历史与未来的每一个当下以今日之我胜昨日之我靠的是奋斗这个唯一解一时千载千载一时面对未来最值得庆幸的是我们都在努力奔跑我们都是追梦人再见你好,5481,406,2179,https://m.weibo.cn/status/H9PIKmYjd?mblogid=H9PIKmYjd&luicode=10000011&lfid=1076032803301701
2018-12-31,恭喜等名用户获得时光历微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,1647,149,818,https://m.weibo.cn/status/H9PlEFKhC?mblogid=H9PlEFKhC&luicode=10000011&lfid=1076032803301701
2018-12-31,夜读这一年谢谢自己转眼间年就要过去了有时候我们很怕怕自己的成长速度跟不上时间的脚步年岁蹉跎一辈子庸庸碌碌但是请相信只要今天的你比昨天的你进步一点点就已足够辛苦了一整年发条微博感谢自己谢谢那个没有轻言放弃始终努力生活的自己,6729,582,4711,https://m.weibo.cn/status/H9PjtEqfh?mblogid=H9PjtEqfh&luicode=10000011&lfid=1076032803301701
2018-12-31,小调查跨年夜你如何度过的你是如何度过的陪在家人身边宅在家看各大卫视的跨年晚会约上三五好友去聚餐歌还是一个人在单位加班上传照片或者视频带话题跟我们分享下你的跨年夜如何度过,929,5303,3366,https://m.weibo.cn/status/H9OVgg7Wy?mblogid=H9OVgg7Wy&luicode=10000011&lfid=1076032803301701
2018-12-31,震撼发布空军招飞宣传片完整版新年伊始年招飞工作即将全面展开空军隆重推出年度招飞公益宣传片你就是传奇完整版愿唤起你心底最初的梦想与你一起逐梦云端,3850,382,1063,https://m.weibo.cn/status/H9NB8kGDX?mblogid=H9NB8kGDX&luicode=10000011&lfid=1076032803301701
2018-12-31,栗子鸡腿肉焖饭嫩滑的鸡腿肉甜糯的板栗吸满香气的米粒假期宅在家没有比饭菜一锅的焖饭更幸福的大餐了,5645,749,4356,https://m.weibo.cn/status/H9Nntrtrk?mblogid=H9Nntrtrk&luicode=10000011&lfid=1076032803301701
2018-12-31,别忘了问候爸妈今年元旦你回家了吗或许你还在外打拼无法陪在父母身边但工作再忙也该给父母打电话时间再紧也该陪父母多聊会出门在外最思念你的永远是他们行程万里却走不出他们的牵挂转发提醒别让爱迟到用行动告诉他们你有多爱他她,2362,289,835,https://m.weibo.cn/status/H9N8azjMa?mblogid=H9N8azjMa&luicode=10000011&lfid=1076032803301701
2018-12-31,人民日报元旦献词创造无愧于伟大新时代的新辉煌今日中国正面临近代以来最好的发展时期也正处于世界百年未有之大变局仍需我们凭着勤劳智慧勇气以信仰信念信心铸就精神的力量为全面建成小康社会收官打下决定性基础以优异成绩向人民共和国华诞献礼,9349,1726,4258,https://m.weibo.cn/status/H9MWmmRuF?mblogid=H9MWmmRuF&luicode=10000011&lfid=1076032803301701
2018-12-31,今天致敬中国消防中国有一支全世界唯一的森林消防力量他们驻守在祖国的国土面积哪里有火灾哪里就有鲜亮的橙色寒冬救火自己浑身结冰险境逆行献出年纪轻轻的生命和平年代他们总是离牺牲太近致敬冰雪风雨中逆行的战士,19277,1310,2519,https://m.weibo.cn/status/H9MKNeOZK?mblogid=H9MKNeOZK&luicode=10000011&lfid=1076032803301701
2018-12-31,学会这些你就是爸妈眼里的清洁小能手去除杯子污渍用牙膏擦清洁燃气灶洒满小苏打用湿布覆盖一会再擦洗去掉锅底糊印浓醋水加热静置几分钟后再擦洗清洗油烟机取下过滤网放入温水中再加入一大把食用碱浸泡一刻钟后冲洗干净即可,2317,155,2687,https://m.weibo.cn/status/H9MvVzm6P?mblogid=H9MvVzm6P&luicode=10000011&lfid=1076032803301701
2018-12-31,提醒个税专项附加扣除政策将于明日实施月日由国税总局开发的个人所得税软件的专项附加扣除信息填报功能正式上线按规定提前填报了信息的纳税人年月份发放工资时就可享受专项附加扣除如果忘填或填晚了可在以后填报并补扣享受记者吴秋余,4721,1478,2119,https://m.weibo.cn/status/H9Mi0uRXJ?mblogid=H9Mi0uRXJ&luicode=10000011&lfid=1076032803301701
